388.97,-30.78,7.81,-764,282,3121,0
389.28,-30.33,7.84,-484,-8,2615,0
389.52,-30.02,8.18,-338,-94,2124,0
389.62,-29.94,8.53,-277,-162,1912,0
389.61,-29.97,8.89,-257,-189,1935,0
389.54,-30.04,9.33,-247,-202,1959,0
389.48,-30.08,9.85,-253,-152,1793,0
389.39,-30.11,10.32,-264,6,1631,0
389.28,-30.07,10.63,-261,86,1626,0
389.24,-30.01,10.75,-267,53,1618,0
389.18,-29.88,10.84,-261,4,1601,0
389.15,-29.77,10.92,-246,-7,1600,0
389.06,-29.63,11.00,-215,-5,1612,0
389.01,-29.45,11.06,-175,-48,1623,0
388.93,-29.29,11.16,-163,-50,1633,0
388.88,-29.12,11.30,-143,-47,1653,0
388.82,-28.97,11.45,-133,-11,1677,0
388.78,-28.83,11.61,-125,37,1689,0
388.74,-28.74,11.69,-116,76,1695,0
388.67,-28.71,11.70,-126,114,1686,0
388.56,-28.76,11.61,-112,120,1699,0
388.55,-28.90,11.39,-117,53,1735,0
388.51,-28.99,11.27,-136,-32,1802,0
388.49,-28.98,11.34,-130,-118,1722,0
388.39,-28.94,11.60,-173,-85,1630,0
388.27,-28.83,11.90,-215,-58,1432,0
388.16,-28.71,12.13,-260,-59,1399,0
388.10,-28.56,12.27,-259,-57,1559,0
388.05,-28.36,12.40,-229,-77,1683,0
387.96,-28.22,12.54,-202,-179,1729,0
387.89,-28.15,12.76,-206,-200,1730,0
387.79,-28.10,13.09,-218,-81,1686,0
387.66,-28.07,13.36,-199,66,1616,0
387.59,-28.12,13.37,-187,84,1609,0
387.50,-28.21,13.30,-213,77,1677,0
387.40,-28.20,13.18,-202,96,1740,0
387.31,-28.18,13.03,-195,90,1737,0
387.21,-28.20,12.85,-218,64,1691,0
387.12,-28.27,12.72,-288,21,1658,0
387.01,-28.39,12.69,-394,104,1701,0
386.75,-28.60,12.73,-595,308,1799,0
386.18,-29.07,12.83,-909,537,1910,0
385.29,-29.54,12.94,-1047,852,2117,0
384.28,-29.59,12.42,-1131,782,2299,0
383.06,-29.37,11.65,-1134,689,2363,0
381.67,-28.86,10.63,-1149,638,2409,0
380.09,-28.14,9.44,-1181,589,2448,0
378.46,-27.26,8.29,-1281,591,2506,0
376.61,-26.19,7.35,-1405,703,2524,0
374.53,-24.84,6.35,-1401,754,2526,0
372.19,-23.32,5.21,-1394,740,2448,0
369.61,-21.64,3.99,-1381,682,2365,0
366.78,-19.76,2.68,-1290,629,2294,0
363.80,-17.76,1.21,-1133,559,2221,0
360.73,-15.72,-0.24,-960,466,2126,0
357.56,-13.72,-1.50,-774,480,1994,0
354.28,-11.91,-2.51,-636,591,1830,0
350.82,-10.27,-3.23,-520,655,1689,0
347.20,-8.79,-3.77,-446,577,1626,0
343.59,-7.38,-4.06,-425,341,1628,0
340.02,-5.96,-4.12,-374,239,1673,0
336.53,-4.58,-4.35,-303,226,1739,0
333.22,-3.24,-5.15,-200,329,1780,0
330.04,-1.99,-6.53,-89,266,1790,0
327.07,-0.81,-7.98,10,105,1749,0
324.33,0.33,-9.18,117,-38,1597,0
321.65,1.35,-9.86,166,-151,1415,0
319.06,2.22,-10.18,158,-110,1310,0
316.63,3.04,-10.59,88,107,1286,0
314.32,3.85,-11.45,47,147,1361,0
312.09,4.69,-12.40,34,84,1440,0
309.99,5.56,-13.15,48,-22,1444,0
307.95,6.49,-13.47,125,-217,1298,0
306.02,7.33,-12.93,200,-425,1044,0
304.21,8.06,-11.54,259,-359,753,0
302.58,8.52,-9.95,239,-19,456,0
301.10,8.70,-8.88,150,253,277,0
299.73,8.63,-8.34,16,362,312,0
298.39,8.39,-8.04,-120,301,556,0
296.97,8.22,-7.77,-163,220,860,0
295.52,8.10,-7.36,-110,101,1132,0
294.14,7.96,-6.86,-45,-42,1307,0
292.86,7.81,-6.41,13,-217,1429,0
291.76,7.72,-6.07,44,-388,1557,0
290.85,7.78,-5.76,18,-348,1707,0
290.18,8.00,-5.60,-22,-230,1885,0
289.68,8.36,-5.51,-93,-206,2036,0
289.27,8.91,-5.29,-144,-183,2160,0
288.96,9.63,-4.86,-214,-109,2238,0
288.61,10.48,-4.30,-259,-47,2268,0
288.23,11.46,-3.61,-289,68,2276,0
287.85,12.49,-2.88,-311,230,2255,0
